id,name,state,region,category,budget_per_day,min_days,max_days,best_season,travel_style,activities,food_type,accommodation,description,image_url,rating,popularity
1,Goa,Goa,West India,Beach,3500,3,7,Winter,Group,"Beach Parties,Water Sports,Nightlife,Sightseeing,Photography",Both,Resort,"Sun-soaked beaches, buzzing beach shacks and a nightlife that never sleeps make Goa India's favourite coastal escape.",https://picsum.photos/seed/goa/800/500,4.6,98
2,Manali,Himachal Pradesh,North India,Hill Station,2800,4,7,Summer,Family,"Trekking,Camping,Sightseeing,Photography,Adventure Sports",Both,Mid-range,"Snow-capped peaks, apple orchards and the thrill of Solang Valley make Manali a classic Himalayan getaway.",https://picsum.photos/seed/manali/800/500,4.5,95
3,Shimla,Himachal Pradesh,North India,Hill Station,2500,3,5,Summer,Family,"Sightseeing,Shopping,Nature Walks,Photography",Both,Mid-range,"Colonial architecture, pine-clad hills and the toy train make Shimla the queen of hill stations.",https://picsum.photos/seed/shimla/800/500,4.3,88
4,Jaipur,Rajasthan,North India,Heritage,3000,3,5,Winter,Family,"Sightseeing,Shopping,Cultural Tours,Photography",Both,Mid-range,"The Pink City dazzles with majestic forts, royal palaces and vibrant bazaars steeped in Rajput history.",https://picsum.photos/seed/jaipur/800/500,4.6,96
5,Udaipur,Rajasthan,North India,Heritage,3200,3,5,Winter,Couple,"Sightseeing,Boat Rides,Cultural Tours,Photography",Both,Luxury,"Serene lakes, floating palaces and romantic sunsets earn Udaipur its title as the City of Lakes.",https://picsum.photos/seed/udaipur/800/500,4.7,94
6,Alleppey,Kerala,South India,Backwaters,3800,2,4,Monsoon,Couple,"Houseboat Cruise,Sightseeing,Relaxation,Photography",Both,Luxury,Palm-fringed backwaters and traditional houseboats offer one of India's most tranquil experiences.,https://picsum.photos/seed/alleppey/800/500,4.7,90
7,Munnar,Kerala,South India,Hill Station,2600,3,5,Winter,Couple,"Trekking,Nature Walks,Sightseeing,Photography",Both,Homestay,Rolling tea plantations and misty hills make Munnar a refreshing escape into green tranquility.,https://picsum.photos/seed/munnar/800/500,4.5,85
8,Rishikesh,Uttarakhand,North India,Adventure,2000,3,5,Summer,Backpacker,"River Rafting,Trekking,Yoga,Camping,Adventure Sports",Veg,Budget,The Yoga Capital of the World blends spiritual calm on the Ganges with adrenaline-pumping river rafting.,https://picsum.photos/seed/rishikesh/800/500,4.5,89
9,Varanasi,Uttar Pradesh,North India,Spiritual,1800,2,4,Winter,Solo,"Cultural Tours,Boat Rides,Sightseeing,Photography",Veg,Budget,"Ancient ghats, evening aartis and centuries of unbroken tradition make Varanasi India's spiritual heart.",https://picsum.photos/seed/varanasi/800/500,4.4,87
10,Agra,Uttar Pradesh,North India,Heritage,2200,1,3,Winter,Family,"Sightseeing,Cultural Tours,Photography",Both,Mid-range,"Home to the timeless Taj Mahal, Agra is a monument to Mughal artistry and eternal love.",https://picsum.photos/seed/agra/800/500,4.7,97
11,Leh-Ladakh,Ladakh,North India,Adventure,4500,6,10,Summer,Backpacker,"Trekking,Camping,Adventure Sports,Photography,Sightseeing",Both,Budget,"High-altitude deserts, turquoise lakes and monastery-dotted mountains make Ladakh a bucket-list adventure.",https://picsum.photos/seed/leh-ladakh/800/500,4.8,93
12,Darjeeling,West Bengal,East India,Hill Station,2400,3,5,Autumn,Family,"Sightseeing,Nature Walks,Photography,Cultural Tours",Both,Mid-range,"Tea gardens, toy trains and views of Kanchenjunga make Darjeeling a fragrant Himalayan retreat.",https://picsum.photos/seed/darjeeling/800/500,4.4,80
13,Gangtok,Sikkim,East India,Hill Station,3000,4,6,Autumn,Family,"Sightseeing,Trekking,Cultural Tours,Photography",Both,Mid-range,"Monasteries, mountain views and Himalayan culture blend seamlessly in Sikkim's charming capital.",https://picsum.photos/seed/gangtok/800/500,4.5,78
14,Port Blair,Andaman and Nicobar Islands,South India,Beach,4200,4,7,Winter,Couple,"Water Sports,Beach Parties,Sightseeing,Photography,Relaxation",Both,Resort,"Turquoise waters, coral reefs and pristine beaches make the Andamans India's tropical paradise.",https://picsum.photos/seed/port-blair/800/500,4.7,86
15,Coorg,Karnataka,South India,Hill Station,2700,3,5,Winter,Couple,"Trekking,Nature Walks,Sightseeing,Photography",Both,Homestay,"Coffee estates, waterfalls and misty hills make Coorg the Scotland of India.",https://picsum.photos/seed/coorg/800/500,4.5,79
16,Ooty,Tamil Nadu,South India,Hill Station,2300,3,5,Summer,Family,"Sightseeing,Nature Walks,Photography,Boat Rides",Both,Mid-range,"Rolling nilgiri hills, botanical gardens and a toy train ride make Ooty a nostalgic hill escape.",https://picsum.photos/seed/ooty/800/500,4.3,75
17,Mysore,Karnataka,South India,Heritage,2100,2,4,Winter,Family,"Sightseeing,Cultural Tours,Shopping,Photography",Both,Mid-range,"Grand palaces, silk sarees and royal legacy make Mysore a majestic cultural stop.",https://picsum.photos/seed/mysore/800/500,4.4,74
18,Hampi,Karnataka,South India,Heritage,1900,2,4,Winter,Backpacker,"Sightseeing,Cultural Tours,Cycling,Photography",Veg,Budget,Sprawling boulder-strewn ruins of the Vijayanagara Empire make Hampi an open-air history museum.,https://picsum.photos/seed/hampi/800/500,4.6,77
19,Pushkar,Rajasthan,North India,Spiritual,1700,2,4,Winter,Solo,"Cultural Tours,Sightseeing,Shopping,Photography",Veg,Budget,"A holy lake, camel fairs and a laid-back bazaar give Pushkar its unmistakable mystic charm.",https://picsum.photos/seed/pushkar/800/500,4.3,68
20,Jaisalmer,Rajasthan,North India,Desert,3100,3,5,Winter,Group,"Camel Safari,Camping,Sightseeing,Photography,Cultural Tours",Both,Resort,Golden sand dunes and a sandstone fort make Jaisalmer a mesmerizing desert adventure.,https://picsum.photos/seed/jaisalmer/800/500,4.6,82
21,Jodhpur,Rajasthan,North India,Heritage,2600,2,4,Winter,Family,"Sightseeing,Cultural Tours,Shopping,Photography",Both,Mid-range,The Blue City is dominated by the majestic Mehrangarh Fort towering over indigo-washed streets.,https://picsum.photos/seed/jodhpur/800/500,4.5,76
22,Shillong,Meghalaya,Northeast India,Hill Station,2900,4,6,Monsoon,Backpacker,"Trekking,Nature Walks,Photography,Adventure Sports",Both,Homestay,"Living root bridges, waterfalls and rolling clouds make Shillong the Scotland of the East.",https://picsum.photos/seed/shillong/800/500,4.5,70
23,Kaziranga National Park,Assam,Northeast India,Wildlife,2800,2,4,Winter,Family,"Wildlife Safari,Nature Walks,Photography",Both,Mid-range,"Home to the one-horned rhinoceros, Kaziranga offers thrilling jeep and elephant safaris.",https://picsum.photos/seed/kaziranga-national-park/800/500,4.6,72
24,Ranthambore National Park,Rajasthan,North India,Wildlife,3300,2,4,Winter,Family,"Wildlife Safari,Photography,Nature Walks",Both,Luxury,Dense forests and royal ruins make Ranthambore one of India's best tiger-spotting destinations.,https://picsum.photos/seed/ranthambore-national-park/800/500,4.5,73
25,Mumbai,Maharashtra,West India,Urban,3600,2,4,Winter,Solo,"Sightseeing,Shopping,Nightlife,Cultural Tours,Photography",Both,Mid-range,"The city that never sleeps mixes Bollywood glamour, colonial landmarks and buzzing street food.",https://picsum.photos/seed/mumbai/800/500,4.4,91
